Ticket_ID,Ticket_Date,Department,Issue_Type,Channel,Location,Priority,Status,Agent,Resolution_Hours,SLA_Hours,SLA_Breach,CSAT,Root_Cause,Business_Impact,Users_Affected,AI_Priority_Score,AI_Predicted_Priority,AI_Confidence
42,2025-11-08 00:00:00,Cybersecurity,Security Alert,Teams,Indore,Low,Resolved,Agent_15,3.8,48,0,4,Access Control,Low,26,47.1,Medium,0.64
43,2026-05-03 00:00:00,HR,Email Issue,Email,Pune,High,Closed,Agent_03,5.1,8,0,4,Software Bug,High,30,90.2,Critical,0.99
44,2025-11-12 00:00:00,Cybersecurity,Password Reset,Teams,Bhopal,Low,Resolved,Agent_13,2.2,48,0,4,Software Bug,Medium,8,33.9,Low,0.78
45,2025-07-21 00:00:00,Cybersecurity,Endpoint Performance,Email,Bengaluru,High,Closed,Agent_14,1,8,0,4,Unknown,Low,15,64.7,High,0.8
46,2026-05-25 00:00:00,Finance,Security Alert,Portal,Indore,Low,Resolved,Agent_06,4.4,48,0,3,Network Congestion,Medium,2,49.3,Medium,0.73
47,2025-12-14 00:00:00,Finance,VPN Access,Phone,Mumbai,High,Escalated,Agent_01,4.8,8,0,5,User Error,High,23,88.7,Critical,0.99
48,2026-03-31 00:00:00,Cybersecurity,Endpoint Performance,Phone,Bhopal,Low,Closed,Agent_12,6.4,48,0,4,Access Control,Medium,3,31.5,Low,0.84
49,2025-09-27 00:00:00,Network Operations,Application Error,Teams,Gurugram,Low,Resolved,Agent_07,3.8,48,0,4,Configuration,High,1,30.4,Low,0.87
50,2026-05-12 00:00:00,HR,Wi-Fi Issue,Phone,Bengaluru,Low,Escalated,Agent_10,1,48,0,4,Access Control,Medium,5,31.1,Low,0.87
51,2025-07-14 00:00:00,Finance,VPN Access,Phone,Mumbai,Medium,Closed,Agent_05,3.3,24,0,5,Hardware,High,3,58.1,High,0.74
52,2026-02-27 00:00:00,Operations,Email Issue,Teams,Mumbai,High,Resolved,Agent_05,4.8,8,0,4,Security Policy,High,33,80.7,Critical,0.97
53,2026-03-22 00:00:00,IT Support,Wi-Fi Issue,Phone,Pune,Medium,In Progress,Agent_11,11.4,24,0,5,Access Control,High,18,50.9,Medium,0.71
54,2026-06-11 00:00:00,Engineering,Hardware Failure,Teams,Mumbai,Medium,Closed,Agent_03,8.6,24,0,3,User Error,High,7,59.9,High,0.72
55,2025-08-22 00:00:00,Sales,Endpoint Performance,Email,Delhi,Critical,Resolved,Agent_04,1.9,4,0,5,Software Bug,High,67,100,Critical,0.99
56,2026-06-05 00:00:00,IT Support,Password Reset,Email,Indore,Critical,In Progress,Agent_07,1.9,4,0,5,Software Bug,Low,81,95.5,Critical,0.99
57,2025-09-30 00:00:00,Engineering,Application Error,Teams,Indore,Low,Escalated,Agent_15,23.3,48,0,5,User Error,Low,1,25.4,Low,0.99
58,2026-03-21 00:00:00,HR,Application Error,Portal,Delhi,Critical,In Progress,Agent_09,2,4,0,4,Software Bug,Medium,38,87.3,Critical,0.99
59,2025-08-04 00:00:00,Engineering,VPN Access,Portal,Delhi,High,In Progress,Agent_06,11.9,8,1,2,Unknown,High,34,70,High,0.82
60,2026-01-22 00:00:00,Operations,Cloud Access,Teams,Indore,High,Closed,Agent_13,11.9,8,1,3,Software Bug,Medium,35,72.6,High,0.92
61,2025-09-19 00:00:00,Engineering,Endpoint Performance,Portal,Pune,Medium,Escalated,Agent_04,5.9,24,0,4,Network Congestion,Medium,11,43.2,Medium,0.69
62,2025-08-19 00:00:00,Sales,Security Alert,Email,Indore,Medium,Closed,Agent_03,1.7,24,0,4,Software Bug,High,12,86.2,Critical,0.99
63,2026-06-25 00:00:00,Operations,VPN Access,Teams,Pune,High,Closed,Agent_14,4.9,8,0,4,Security Policy,Low,21,58.9,High,0.82
64,2025-07-02 00:00:00,IT Support,Application Error,Teams,Bengaluru,Low,Resolved,Agent_13,3.2,48,0,4,Security Policy,Medium,6,31.3,Low,0.88
65,2025-08-23 00:00:00,HR,Application Error,Teams,Indore,Medium,Closed,Agent_07,3.8,24,0,4,Access Control,Low,15,44.2,Medium,0.59
66,2025-10-14 00:00:00,Cybersecurity,Application Error,Teams,Indore,Critical,In Progress,Agent_10,3,4,0,5,Configuration,Low,83,95.8,Critical,0.99
67,2026-03-17 00:00:00,Operations,VPN Access,Portal,Delhi,High,Resolved,Agent_06,1.6,8,0,4,Software Bug,Medium,42,68.8,High,0.79
68,2026-05-06 00:00:00,Sales,Hardware Failure,Phone,Delhi,High,Resolved,Agent_14,6.8,8,0,5,User Error,Medium,26,74.5,High,0.88
69,2026-01-07 00:00:00,IT Support,Hardware Failure,Email,Pune,Medium,Resolved,Agent_01,2.4,24,0,5,Configuration,High,7,71.2,High,0.77
70,2026-02-03 00:00:00,HR,Email Issue,Email,Gurugram,Low,Resolved,Agent_11,5.3,48,0,4,User Error,Medium,13,23.6,Low,0.95
71,2025-08-13 00:00:00,HR,Cloud Access,Teams,Mumbai,Medium,Resolved,Agent_10,1.8,24,0,4,User Error,Low,5,49,Medium,0.71
72,2025-12-09 00:00:00,Finance,Password Reset,Email,Gurugram,Low,Resolved,Agent_11,1.2,48,0,3,Security Policy,High,11,45.3,Medium,0.73
73,2026-01-18 00:00:00,HR,Application Error,Email,Gurugram,Medium,Escalated,Agent_02,5.4,24,0,5,Network Congestion,Low,3,32.2,Low,0.91
74,2026-03-27 00:00:00,Network Operations,Cloud Access,Email,Pune,Medium,Escalated,Agent_02,1.7,24,0,3,Access Control,Medium,21,49.4,Medium,0.63
75,2026-06-16 00:00:00,Operations,Network Connectivity,Teams,Bhopal,Medium,Resolved,Agent_15,7.8,24,0,5,Unknown,High,3,52.9,Medium,0.72
76,2026-04-30 00:00:00,Operations,Password Reset,Portal,Mumbai,Medium,Escalated,Agent_10,1.8,24,0,4,Unknown,Medium,3,41.7,Medium,0.73
77,2026-03-28 00:00:00,Operations,Hardware Failure,Phone,Pune,High,Resolved,Agent_04,4.5,8,0,4,Unknown,Medium,29,72,High,0.89
78,2026-01-31 00:00:00,Operations,Cloud Access,Phone,Bhopal,Medium,Resolved,Agent_08,3.7,24,0,5,Software Bug,Low,21,41,Medium,0.74
79,2026-03-09 00:00:00,Finance,Security Alert,Phone,Pune,Critical,Escalated,Agent_01,3.3,4,0,4,Software Bug,Medium,106,100,Critical,0.99
80,2026-01-06 00:00:00,HR,VPN Access,Teams,Bengaluru,High,Resolved,Agent_11,7.4,8,0,4,Unknown,High,30,93.9,Critical,0.99
81,2026-04-22 00:00:00,IT Support,Hardware Failure,Email,Pune,Medium,Escalated,Agent_05,4.8,24,0,3,Access Control,Low,3,40.7,Medium,0.66
82,2026-01-29 00:00:00,Sales,Hardware Failure,Teams,Mumbai,Medium,Resolved,Agent_08,4.2,24,0,5,Network Congestion,High,11,66.3,High,0.71
83,2026-01-24 00:00:00,Finance,Endpoint Performance,Portal,Bhopal,High,Resolved,Agent_09,9.5,8,1,4,Hardware,Low,29,70.9,High,0.91
84,2026-02-22 00:00:00,HR,Email Issue,Teams,Pune,High,In Progress,Agent_02,12.9,8,1,3,Software Bug,High,27,78.6,Critical,0.91
85,2026-06-03 00:00:00,HR,Endpoint Performance,Phone,Indore,Medium,Escalated,Agent_03,4.2,24,0,5,Network Congestion,High,9,55.5,High,0.84
86,2025-08-22 00:00:00,IT Support,Network Connectivity,Phone,Mumbai,Critical,Escalated,Agent_14,4.7,4,1,2,Configuration,Medium,44,92.7,Critical,0.99
87,2026-04-06 00:00:00,Finance,Cloud Access,Teams,Bengaluru,Medium,Resolved,Agent_05,13.3,24,0,5,Unknown,Low,1,39.6,Medium,0.75
88,2026-02-02 00:00:00,Network Operations,VPN Access,Teams,Bengaluru,Low,Escalated,Agent_01,5.9,48,0,4,Hardware,High,14,37.4,Medium,0.69
89,2026-03-09 00:00:00,Finance,Password Reset,Email,Indore,Low,Closed,Agent_10,19.4,48,0,3,Software Bug,High,10,38.8,Medium,0.69
90,2026-01-04 00:00:00,Operations,Wi-Fi Issue,Teams,Bengaluru,Medium,In Progress,Agent_05,10.6,24,0,5,Configuration,Medium,3,47.1,Medium,0.64
91,2025-08-10 00:00:00,Network Operations,Cloud Access,Portal,Mumbai,Medium,Escalated,Agent_03,4.2,24,0,5,Software Bug,Low,23,39.1,Medium,0.72
92,2025-12-04 00:00:00,Network Operations,Password Reset,Portal,Bhopal,Medium,Escalated,Agent_08,4.1,24,0,4,Network Congestion,High,12,63.1,High,0.76
93,2025-07-15 00:00:00,HR,Network Connectivity,Phone,Mumbai,Medium,Closed,Agent_11,16.1,24,0,4,Software Bug,Low,1,33.5,Low,0.81
94,2026-04-27 00:00:00,HR,Endpoint Performance,Teams,Bhopal,Medium,Escalated,Agent_15,9.1,24,0,4,Network Congestion,Low,7,35.6,Medium,0.81
95,2025-09-03 00:00:00,Network Operations,Password Reset,Email,Indore,High,In Progress,Agent_15,10.3,8,1,4,Network Congestion,High,26,85.8,Critical,0.98
96,2026-06-10 00:00:00,Network Operations,Hardware Failure,Teams,Mumbai,Medium,Closed,Agent_09,2.2,24,0,5,Unknown,Medium,8,46.8,Medium,0.72
97,2026-05-23 00:00:00,Network Operations,Hardware Failure,Email,Bengaluru,High,In Progress,Agent_02,1.2,8,0,4,Software Bug,Medium,11,73,High,0.82
98,2025-07-09 00:00:00,IT Support,Cloud Access,Phone,Gurugram,Low,Resolved,Agent_09,11.5,48,0,5,Unknown,Medium,12,28.9,Low,0.88
99,2026-06-09 00:00:00,Cybersecurity,Endpoint Performance,Teams,Mumbai,High,Resolved,Agent_07,4.7,8,0,4,Access Control,Medium,22,70.2,High,0.86
100,2025-11-06 00:00:00,Network Operations,Security Alert,Portal,Pune,Medium,Closed,Agent_11,10.2,24,0,5,Security Policy,Medium,4,52.7,Medium,0.7
101,2025-11-13 00:00:00,IT Support,Wi-Fi Issue,Teams,Bhopal,Medium,Resolved,Agent_13,5.4,24,0,4,Security Policy,Low,10,45.2,Medium,0.76
102,2025-09-01 00:00:00,IT Support,Wi-Fi Issue,Teams,Bengaluru,Low,In Progress,Agent_10,7.6,48,0,4,Unknown,Medium,1,29,Low,0.87
103,2025-11-16 00:00:00,IT Support,Hardware Failure,Portal,Pune,Medium,Resolved,Agent_15,6.6,24,0,3,Unknown,Medium,2,54.5,Medium,0.7
104,2025-09-19 00:00:00,IT Support,VPN Access,Portal,Mumbai,Medium,In Progress,Agent_09,6,24,0,4,Security Policy,Low,17,42.2,Medium,0.69
105,2025-12-10 00:00:00,HR,VPN Access,Email,Bengaluru,Critical,Escalated,Agent_15,4.1,4,1,3,Network Congestion,Low,87,95.3,Critical,0.99
106,2026-04-15 00:00:00,Finance,Wi-Fi Issue,Teams,Delhi,Medium,Closed,Agent_08,3.4,24,0,4,Hardware,Low,8,35.9,Medium,0.79
107,2026-03-18 00:00:00,HR,Application Error,Portal,Delhi,Low,Closed,Agent_15,14.9,48,0,4,Network Congestion,Medium,4,27.3,Low,0.84
108,2026-02-16 00:00:00,Finance,Network Connectivity,Phone,Delhi,High,Escalated,Agent_08,1,8,0,5,Unknown,Medium,20,69.6,High,0.84
109,2025-08-10 00:00:00,Sales,Security Alert,Teams,Bengaluru,Critical,Resolved,Agent_10,8.9,4,1,4,Security Policy,High,57,100,Critical,0.99
110,2025-07-28 00:00:00,Operations,Email Issue,Email,Pune,High,Escalated,Agent_11,1.3,8,0,5,Hardware,Medium,28,79.4,Critical,0.99
111,2025-11-12 00:00:00,IT Support,Hardware Failure,Portal,Gurugram,Critical,Resolved,Agent_02,1.2,4,0,5,Unknown,Low,87,92.1,Critical,0.99
112,2026-01-17 00:00:00,Cybersecurity,Network Connectivity,Teams,Delhi,High,Resolved,Agent_13,1.4,8,0,4,Network Congestion,Low,45,62.9,High,0.81
113,2026-05-24 00:00:00,Operations,Security Alert,Email,Delhi,Medium,Escalated,Agent_07,17.2,24,0,5,Access Control,High,10,68.2,High,0.82
114,2026-03-25 00:00:00,IT Support,Hardware Failure,Email,Indore,Medium,Resolved,Agent_12,16.1,24,0,4,User Error,Low,7,43.9,Medium,0.72
115,2025-08-02 00:00:00,Network Operations,Application Error,Email,Bengaluru,Low,Resolved,Agent_01,7.1,48,0,5,Access Control,Low,4,22.6,Low,0.98
116,2025-08-17 00:00:00,Finance,Network Connectivity,Phone,Pune,Medium,Resolved,Agent_07,2.8,24,0,5,Hardware,High,20,60.8,High,0.77
117,2025-08-31 00:00:00,Cybersecurity,Password Reset,Email,Gurugram,High,In Progress,Agent_08,5.3,8,0,5,Hardware,High,27,86.9,Critical,0.99
118,2026-02-01 00:00:00,Engineering,Email Issue,Phone,Bengaluru,Medium,Resolved,Agent_15,6.1,24,0,5,Network Congestion,Medium,7,44.1,Medium,0.77
119,2026-04-19 00:00:00,Cybersecurity,Wi-Fi Issue,Email,Bengaluru,High,In Progress,Agent_07,6.5,8,0,4,Network Congestion,Medium,29,69.4,High,0.78
120,2025-10-07 00:00:00,Finance,Hardware Failure,Portal,Bengaluru,High,Resolved,Agent_10,8.2,8,1,3,Access Control,Low,23,64.3,High,0.83
121,2025-12-19 00:00:00,Finance,Cloud Access,Phone,Bhopal,Critical,Escalated,Agent_01,1,4,0,5,Configuration,Medium,62,93.9,Critical,0.99
122,2026-06-25 00:00:00,Engineering,Cloud Access,Phone,Delhi,High,In Progress,Agent_11,8.8,8,1,2,Software Bug,Medium,31,76,Critical,0.91
123,2026-01-30 00:00:00,Finance,Cloud Access,Portal,Mumbai,Low,Escalated,Agent_01,19.9,48,0,4,Network Congestion,High,6,35.5,Medium,0.73
124,2025-08-04 00:00:00,IT Support,Hardware Failure,Phone,Mumbai,Low,Resolved,Agent_12,14.4,48,0,5,Security Policy,Medium,12,24,Low,0.84
125,2026-02-12 00:00:00,HR,Password Reset,Portal,Delhi,Medium,Resolved,Agent_09,6.6,24,0,4,Network Congestion,High,3,61.9,High,0.85
126,2025-10-09 00:00:00,Finance,Password Reset,Teams,Delhi,Medium,Resolved,Agent_08,19.6,24,0,5,User Error,Low,6,43.4,Medium,0.68
127,2025-11-08 00:00:00,HR,Password Reset,Teams,Delhi,High,Resolved,Agent_07,1,8,0,5,Configuration,Low,38,69.1,High,0.91
128,2026-03-14 00:00:00,Network Operations,Endpoint Performance,Teams,Pune,Medium,Escalated,Agent_10,7.2,24,0,4,Security Policy,Medium,7,43.8,Medium,0.71
129,2025-07-05 00:00:00,Network Operations,Security Alert,Portal,Bengaluru,Low,In Progress,Agent_15,14.8,48,0,5,Software Bug,Medium,5,43.3,Medium,0.73
130,2026-02-03 00:00:00,Engineering,VPN Access,Phone,Mumbai,Medium,Resolved,Agent_01,14.6,24,0,4,Network Congestion,Low,10,40.4,Medium,0.75
131,2026-03-12 00:00:00,Network Operations,Hardware Failure,Email,Indore,High,Resolved,Agent_06,2.8,8,0,3,Security Policy,Medium,23,69.9,High,0.85
132,2026-06-24 00:00:00,Cybersecurity,Cloud Access,Teams,Mumbai,Low,Closed,Agent_07,14.5,48,0,4,Network Congestion,High,20,38.5,Medium,0.79
133,2026-04-09 00:00:00,Sales,Network Connectivity,Portal,Bengaluru,Medium,Resolved,Agent_02,15.5,24,0,4,Access Control,Medium,13,43.2,Medium,0.66
134,2026-01-23 00:00:00,Sales,Wi-Fi Issue,Email,Bengaluru,Medium,Resolved,Agent_02,4,24,0,5,Software Bug,Medium,12,59,High,0.79
135,2025-07-15 00:00:00,IT Support,Cloud Access,Email,Delhi,Medium,Resolved,Agent_04,25.4,24,1,4,User Error,High,7,64.6,High,0.82
136,2026-06-11 00:00:00,HR,Wi-Fi Issue,Portal,Delhi,High,Resolved,Agent_15,1.9,8,0,5,Configuration,Low,37,69.2,High,0.81
137,2025-08-11 00:00:00,Cybersecurity,Endpoint Performance,Portal,Gurugram,Medium,Resolved,Agent_11,5.2,24,0,4,Configuration,Low,8,48.2,Medium,0.71
138,2025-12-26 00:00:00,IT Support,Password Reset,Phone,Delhi,High,In Progress,Agent_03,3.1,8,0,5,Network Congestion,Medium,20,65.5,High,0.83
139,2025-09-01 00:00:00,Cybersecurity,Network Connectivity,Teams,Gurugram,Medium,Resolved,Agent_08,18.6,24,0,4,Access Control,Medium,4,49.1,Medium,0.59
140,2026-06-17 00:00:00,Network Operations,Wi-Fi Issue,Teams,Gurugram,Medium,In Progress,Agent_12,2.9,24,0,4,Network Congestion,Low,21,31.5,Low,0.78
141,2026-02-16 00:00:00,IT Support,Hardware Failure,Email,Bengaluru,High,Closed,Agent_08,3.8,8,0,4,Unknown,High,29,77.9,Critical,0.88
142,2026-02-26 00:00:00,Network Operations,VPN Access,Phone,Gurugram,Medium,Resolved,Agent_10,2.4,24,0,2,Access Control,Medium,18,44,Medium,0.72
143,2025-08-21 00:00:00,Finance,Application Error,Teams,Gurugram,Medium,Resolved,Agent_02,1.4,24,0,5,Software Bug,High,9,52.7,Medium,0.66
144,2025-10-04 00:00:00,Engineering,Application Error,Portal,Bengaluru,Medium,Closed,Agent_07,7.1,24,0,5,User Error,Medium,13,54.6,Medium,0.66
145,2026-02-07 00:00:00,Operations,Security Alert,Phone,Mumbai,Medium,Resolved,Agent_15,8.6,24,0,4,Unknown,High,8,75.5,Critical,0.92
146,2026-02-16 00:00:00,Network Operations,VPN Access,Email,Bhopal,Medium,Escalated,Agent_06,4,24,0,4,Hardware,High,11,56.3,High,0.73
147,2026-02-22 00:00:00,IT Support,Wi-Fi Issue,Phone,Mumbai,Low,Resolved,Agent_13,5.4,48,0,3,Security Policy,High,3,33.3,Low,0.83
148,2025-11-20 00:00:00,Finance,Network Connectivity,Phone,Pune,Medium,In Progress,Agent_03,11.2,24,0,5,Unknown,Low,6,41.1,Medium,0.79
149,2025-12-18 00:00:00,Network Operations,Email Issue,Phone,Delhi,Medium,Resolved,Agent_10,4.6,24,0,4,Software Bug,Medium,5,56.8,High,0.73
150,2025-07-29 00:00:00,IT Support,Application Error,Phone,Bhopal,Low,Escalated,Agent_15,11.4,48,0,3,Access Control,Medium,36,40.2,Medium,0.77
151,2025-08-05 00:00:00,IT Support,Security Alert,Portal,Delhi,Medium,Escalated,Agent_02,9.1,24,0,4,Hardware,Medium,7,60.5,High,0.78
152,2025-07-13 00:00:00,Network Operations,Network Connectivity,Portal,Bengaluru,Medium,Resolved,Agent_06,2.7,24,0,5,Network Congestion,Low,6,37.7,Medium,0.71
153,2025-12-07 00:00:00,Network Operations,Security Alert,Email,Indore,Medium,In Progress,Agent_11,17.4,24,0,4,User Error,Low,14,53.7,Medium,0.73
154,2026-05-23 00:00:00,Engineering,Endpoint Performance,Teams,Bengaluru,Medium,Closed,Agent_04,8.6,24,0,4,User Error,Medium,4,41.9,Medium,0.7
155,2026-01-03 00:00:00,Operations,Security Alert,Email,Pune,High,In Progress,Agent_11,1.8,8,0,4,Network Congestion,Medium,29,93.5,Critical,0.99
156,2026-02-28 00:00:00,HR,Network Connectivity,Teams,Gurugram,Low,Resolved,Agent_04,6.5,48,0,5,Hardware,Medium,16,34.9,Low,0.9
157,2025-09-24 00:00:00,Finance,Endpoint Performance,Phone,Bhopal,Low,Escalated,Agent_03,12.6,48,0,5,Hardware,Medium,3,27,Low,0.79
158,2026-04-10 00:00:00,HR,Application Error,Phone,Bhopal,Medium,Escalated,Agent_07,9.8,24,0,5,Configuration,Low,26,41.3,Medium,0.78
159,2025-09-04 00:00:00,Network Operations,Hardware Failure,Phone,Gurugram,Medium,Closed,Agent_11,10,24,0,5,Security Policy,High,6,50.3,Medium,0.7
160,2025-12-17 00:00:00,Network Operations,Endpoint Performance,Teams,Bhopal,Critical,Resolved,Agent_14,1.4,4,0,3,Access Control,High,93,100,Critical,0.99
161,2025-08-14 00:00:00,Operations,VPN Access,Email,Indore,Medium,Closed,Agent_02,7.6,24,0,5,Security Policy,High,6,59.9,High,0.75
162,2025-08-31 00:00:00,Sales,Endpoint Performance,Portal,Pune,High,Resolved,Agent_02,7.7,8,0,4,Software Bug,High,31,88.9,Critical,0.99
163,2025-11-11 00:00:00,Sales,Security Alert,Portal,Indore,Medium,Resolved,Agent_03,16.8,24,0,5,Hardware,Low,15,53.4,Medium,0.67
164,2026-04-10 00:00:00,Cybersecurity,VPN Access,Teams,Bengaluru,High,In Progress,Agent_15,2.5,8,0,3,Access Control,Medium,41,74,High,0.88
165,2025-07-28 00:00:00,Cybersecurity,Security Alert,Teams,Bhopal,High,Escalated,Agent_05,1,8,0,5,Configuration,Medium,36,74.7,High,0.82
166,2025-10-16 00:00:00,Network Operations,Security Alert,Phone,Bengaluru,High,Resolved,Agent_02,18.4,8,1,3,User Error,Medium,25,87.4,Critical,0.99
167,2025-08-13 00:00:00,Operations,Cloud Access,Teams,Gurugram,Medium,Escalated,Agent_08,1,24,0,4,Software Bug,Low,3,37.5,Medium,0.82
168,2026-06-05 00:00:00,Engineering,Security Alert,Portal,Bhopal,High,Resolved,Agent_09,4.6,8,0,5,Hardware,High,13,94.9,Critical,0.99
